date,exchange_rate
2019-02-19,4.088
2019-02-20,4.0695
2019-02-21,4.0695
2019-02-22,4.0825
2019-02-25,4.0705
2019-02-26,4.072
2019-02-27,4.0655
2019-02-28,4.0705
2019-03-01,4.1425
2019-03-04,4.0805
2019-03-05,4.1415
2019-03-06,4.1805
2019-03-07,4.1405
2019-03-12,4.173
2019-03-13,4.09
2019-03-14,4.0895
2019-03-15,4.0905
2019-03-18,4.0825
2019-03-19,4.0745
2019-03-20,4.077
2019-03-21,4.0605
2019-03-22,4.0605
2019-03-25,4.072
2019-03-26,4.0675
2019-03-27,4.0775
2019-03-28,4.077
2019-03-29,4.081
2019-04-01,4.1395
2019-04-02,4.0925
2019-04-03,4.072
2019-04-04,4.0795
2019-04-09,4.2125
2019-04-10,4.184
2019-04-11,4.1525
2019-04-12,4.1815
2019-04-15,4.113
2019-04-16,4.1155
2019-04-17,4.1435
2019-04-18,4.145
2019-04-19,4.1325
2019-04-22,4.1365
2019-04-23,4.1265
2019-04-24,4.1325
2019-04-25,4.1355
2019-04-26,4.133
2019-04-29,4.1325
2019-04-30,4.1355
2019-05-03,4.077
2019-05-07,4.1355
2019-05-08,4.1755
2019-05-09,4.1930000000000005
2019-05-13,4.1625
2019-05-14,4.1705
2019-05-15,4.1735
2019-05-16,4.171
2019-05-17,4.1735
2019-05-21,4.1845
2019-05-23,4.1930000000000005
2019-05-24,4.1925
2019-05-27,4.1865
2019-05-28,4.1925
2019-05-29,4.1955
2019-05-30,4.1965
2019-05-31,4.197
2019-06-03,4.0895
2019-06-11,4.136
2019-06-12,4.1625
2019-06-13,4.1625
2019-06-14,4.1685
2019-06-17,4.1755
2019-06-18,4.1815
2019-06-19,4.1765
2019-06-20,4.1565
2019-06-21,4.15
2019-06-24,4.1445
2019-06-25,4.1435
2019-06-26,4.1525
2019-06-27,4.149
2019-06-28,4.1419999999999995
2019-07-01,4.1105
2019-07-02,4.0785
2019-07-03,4.087
2019-07-05,4.1475
2019-07-08,4.196000000000001
2019-07-10,4.1930000000000005
2019-07-11,4.146
2019-07-15,4.1065
2019-07-16,4.1085
2019-07-17,4.1155
2019-07-18,4.1125
2019-07-19,4.1095
2019-07-22,4.1145
2019-07-23,4.1185
2019-07-24,4.121
2019-07-25,4.1185
2019-07-26,4.12
2019-07-29,4.12
2019-07-31,4.1275
2019-08-01,4.113
2019-08-02,4.0725
2019-08-05,4.1465
2019-08-07,4.1435
2019-08-08,4.1825
2019-08-13,4.1930000000000005
2019-08-14,4.1865
2019-08-15,4.1935
2019-08-16,4.183
2019-08-19,4.168
2019-08-20,4.1815
2019-08-21,4.1735
2019-08-22,4.1805
2019-08-23,4.19
2019-08-26,4.205
2019-08-27,4.2075
2019-08-28,4.2105
2019-08-29,4.225
2019-08-30,4.2219999999999995
2019-09-04,4.0969999999999995
2019-09-05,4.152
2019-09-10,4.1978
2019-09-12,4.1635
2019-09-13,4.1645
2019-09-17,4.1795
2019-09-18,4.185
2019-09-19,4.198
2019-09-20,4.1795
2019-09-23,4.1625
2019-09-24,4.1775
2019-09-25,4.185
2019-09-26,4.1935
2019-09-27,4.1945
2019-09-30,4.187
2019-10-01,4.0955
2019-10-04,4.0975
2019-10-07,4.1405
2019-10-09,4.171
2019-10-10,4.1930000000000005
2019-10-14,4.1795
2019-10-15,4.189
2019-10-16,4.1935
2019-10-17,4.1885
2019-10-18,4.188
2019-10-21,4.185
2019-10-22,4.1845
2019-10-23,4.194
2019-10-24,4.184
2019-10-25,4.188
2019-10-29,4.1815
2019-10-30,4.1845
2019-10-31,4.1775
2019-11-01,4.096
2019-11-04,4.1175
2019-11-06,4.1645
2019-11-07,4.1225
2019-11-11,4.1415
2019-11-12,4.163
2019-11-13,4.1530000000000005
2019-11-14,4.1585
2019-11-15,4.1495
2019-11-18,4.154
2019-11-19,4.1610000000000005
2019-11-20,4.159
2019-11-21,4.1735
2019-11-22,4.168
2019-11-25,4.1765
2019-11-26,4.1805
2019-11-27,4.1825
2019-11-28,4.1739999999999995
2019-11-29,4.1713
2019-12-02,4.077
2019-12-03,4.0815
2019-12-04,4.12
2019-12-06,4.164
2019-12-09,4.173
2019-12-11,4.144
2019-12-12,4.1545
2019-12-13,4.1415
2019-12-16,4.14
2019-12-17,4.1415
2019-12-18,4.1435
2019-12-19,4.1405
2019-12-20,4.1405
2019-12-23,4.1445
2019-12-24,4.1425
2019-12-26,4.1355
2019-12-27,4.1315
2019-12-30,4.1135
2019-12-31,4.0925
2020-01-13,4.0645
2020-01-14,4.0615
